Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,OSU 2M,147.160000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
2,BENSIM,147.510000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,CVO 2M,146.780000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,,,,,
4,OSU 440,443.050000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
5,CVO 440,442.300000,+,5.000000,Tone,162.2,88.5,023,NN,FM,5.00,,,,,,
6,BENPCKT,144.970000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
7,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
8,PRA-KGW,146.980000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
9,PRA-SALM,145.490000,-,0.600000,Tone,107.2,88.5,023,NN,FM,5.00,,,,,,
10,PRA-PRAI,145.130000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
11,PRA-BUCK,444.825000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
12,PRA-COBU,441.325000,+,5.000000,DTCS,100.0,88.5,132,NN,FM,5.00,,,,,,
13,PRA-HAGA,147.340000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
14,PRA-MTS,146.700000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
15,PRA-KENY,146.920000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
16,PRA-KING,146.940000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
17,PRA-CHAS,147.200000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
18,PRA-SODA,147.160000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
19,PRA-HODO,441.625000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
20,PRA-CLIN,145.130000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,,,,,
21,PRA-WOLF,441.675000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
22,PRA-CHIL,145.210000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
23,PRA-OTTR,145.390000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
24,PRA-RONO,147.140000,+,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
25,PRA-NOB,146.880000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,,,,,
26,PRA-MPW,146.820000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
27,PRA-PRAX,443.500000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
28,2M CALL,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,70CM CA,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,LINR1,147.200000,+,0.600000,Tone,167.9,88.5,023,NN,FM,5.00,S,,,,,
31,LINSIM1,147.490000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
32,LINR2,146.610000,+,0.600000,Tone,167.9,88.5,023,NN,FM,5.00,S,,,,,
33,LINR3,147.060000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,S,,,,,
34,LINSIM2,146.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
35,LANER1,146.680000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
36,LANER2,441.325000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
37,LANESIM,147.580000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
38,LANESIM,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
39,LANER3,146.740000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
40,YAMR1,441.800000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
41,YAMR2,146.640000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,S,,,,,
42,YAMSIM1,147.460000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
43,YAMSIM2,147.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
44,ABU529,145.290000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,MARR2,146.860000,-,0.600000,Tone,186.2,88.5,023,NN,FM,5.00,S,,,,,
46,MARR3,146.720000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
47,LINCR1,145.370000,+,0.600000,Tone,167.9,88.5,023,NN,FM,5.00,S,,,,,
48,POLR1,147.020000,+,0.600000,Tone,186.2,88.5,023,NN,FM,5.00,S,,,,,
49,LEMAIN,155.490000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
50,OSU OSP,155.745000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
51,FIREOPS,158.820000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
52,BC FIR,154.340000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
53,PHIL FI,154.220000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
54,KV FIR,154.340000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
55,BCDiaBus,152.285000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
56,OSU CSec,460.325000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
57,OSU Ath,451.737500,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
58,OSU Ath,456.737500,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
59,MarSher,154.740000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
60,StayPol,154.830000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
61,MarFire,154.250000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
62,SalPol,460.475000,off,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
63,LinnSher,154.710000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
